code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	assign9	section	explore	weekly0%	midterm	final	total	grade
15917	9	14	15	15	14	15	15	6	16	20	1	79.50%	92	84	83.82	2.9
15982	9	15	19	18	19	20	19	10	20	20	0.33	96.20%	96	93	94.88	3.8
16147	8	16	20	19	19	17	18	10	19	20	0	94.30%	92	76	86.53	3.1
16303	9	16	18	17	16	16	18	8	16	20	3	89.20%	92	89	89.68	3.4
16337	9	16	18	13	19	13	19	8	16	20	0	85.80%	84	89	86.72	3.2
16393	8	15	18	17	13	18	18	7	19	20	0	86.90%	84	86	85.97	3.1
16394	9	11	7	0	0	0	0	0	0	9	0	20.50%	50	8	21.38	0
16421	10	15	20	17	19	0	0	8	14	20	0	69.90%	89	64	71.35	1.8
16482	8	15	18	0	10	19	13	6	10	20	0	67.60%	67	17	47.25	0
16517	8	15	18	16	0	0	0	0	0	20	0	43.80%	75	0	32.5	0
16518	9	16	14	17	18	18	19	9	14	20	0	87.50%	87	87	87.2	3.2
16700	8	16	18	16	12	16	15	8	9	20	0	78.40%	69	71	73.56	2
16825	6	14	18	11	15	13	0	8	3	15	0	58.50%	33	7	32.81	0
16970	9	16	20	16	19	17	18	9	18	20	0	92.00%	88	84	88.02	3.3
16973	9	16	20	20	16	18	16	8	14	20	0	89.20%	79	86	85.88	3.1
17005	8	9	19	18	6	4	10	6	12	18	0	62.50%	58	20	44.6	0
17046	8	16	18	18	6	5	0	0	0	20	0	51.70%	58	0	32.28	0
17137	9	0	0	0	0	0	0	0	0	6	0	8.50%	39	0	11.21	0
17287	10	16	20	18	16	14	16	8	15	20	0	86.90%	77	64	75.77	2.2
17289	8	16	18	0	0	13	0	8	17	20	0	56.80%	72	30	49.13	-0.1
17292	9	16	19	17	16	17	0	7	11	20	0	75.00%	93	69	76.2	2.3
17349	10	15	20	19	16	18	20	10	21	20	2.33	97.30%	91	90	93.14	3.7
17443	8	16	20	17	19	17	18	10	18	20	0.33	92.80%	87	95	92.52	3.7
17685	9	16	20	17	17	17	16	8	15	20	0	88.10%	67	75	78.63	2.5
17839	10	16	20	19	18	11	0	5	7	12	0	67.00%	72	53	62.42	1.1
17967	10	16	20	20	20	20	19	8	19	20	0.67	98.10%	97	79	90.24	3.5
18007	8	15	17	19	19	12	16	7	17	20	0	85.20%	82	74	80.09	2.6
18136	8	16	14	16	17	12	0	9	14	20	0	71.60%	82	62	69.84	1.7
18247	9	15	20	19	19	15	19	10	16	20	0	92.00%	97	95	94.22	3.8
18282	10	15	20	17	13	17	16	8	12	20	0.33	84.30%	66	43	64.11	1.2
18378	8	14	17	17	17	16	17	8	15	20	0	84.70%	87	81	83.66	2.9
18860	10	16	18	16	17	18	19	9	18	18	0	90.30%	97	76	85.94	3.1
18863	10	14	20	17	18	13	17	9	17	20	0	88.10%	65	58	71.43	1.8
18949	8	14	18	17	17	19	18	9	16	20	0	88.60%	90	91	89.85	3.4
19217	8	11	12	9	12	0	0	0	0	15	0	38.10%	70	22	38.03	0
19301	8	15	12	19	15	18	17	8	13	20	0	82.40%	93	90	87.55	3.2
19309	9	15	19	16	17	16	0	7	13	20	0	75.00%	80	53	67.2	1.5
19332	7	15	18	17	18	14	18	7	17	20	1	86.40%	80	77	81.35	2.7
19394	10	16	18	19	19	18	16	8	13	20	0	89.20%	92	91	90.48	3.5
19401	8	14	13	15	12	16	15	6	9	20	0	72.70%	65	57	64.89	1.3
19610	9	15	18	17	16	18	16	10	21	20	0	90.90%	86	74	83.16	2.9
19721	9	16	20	17	18	16	15	0	15	20	3	84.70%	89	62	76.46	2.3
19753	10	16	20	19	19	19	19	9	19	20	0.67	97.00%	83	85	89.39	3.4
19761	9	16	19	16	18	16	16	9	15	20	0	87.50%	94	83	87	3.2
19880	10	16	20	20	20	19	19	10	20	20	0	98.90%	98	94	96.75	3.9
19930	10	16	20	18	20	20	19	8	19	12	0	92.00%	87	79	85.82	3.1
20138	9	16	16	19	18	17	19	10	14	20	0	89.80%	92	77	85.11	3
20143	5	14	18	12	14	0	0	0	0	15	0	44.30%	77	17	39.93	0
20265	10	16	18	19	17	18	17	9	20	20	0	93.20%	98	88	92.07	3.6
20325	6	15	16	16	12	0	16	0	18	20	0	67.60%	97	90	82.45	2.8
20357	8	15	17	16	16	17	18	8	12	20	0	83.50%	72	47	66.61	1.4
20365	10	16	17	19	18	17	19	8	17	20	0	91.50%	88	73	83.39	2.9
